bits,block_size,codebook,cosine,element_format,int_gemm_friendly,layer,levels,method,mxfp4_group_size,qmax,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,128,,0.9814692735671997,,Yes,model.layers.0.self_attn.q_proj,,direct_absmax,,7,uniform integer-like,0.038573093712329865,none,none,,32768,,flat_block_absmax,14.137155532836914,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
3,128,,0.9269120693206787,,Yes,model.layers.0.self_attn.q_proj,,direct_absmax,,3,uniform integer-like,0.15403877198696136,none,none,,32768,,flat_block_absmax,8.123699188232422,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
2,128,,0.7167435884475708,,Yes,model.layers.0.self_attn.q_proj,,direct_absmax,,1,uniform integer-like,0.5442025661468506,none,none,,32768,,flat_block_absmax,2.6423940658569336,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,128,,0.991227924823761,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.q_proj,,mxfp4,32,,mxfp4_e2m1_fake_quant,0.021009273827075958,none,none,,131072,E8M0_like_power2,group_power2,16.775890350341797,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,128,,0.9947838187217712,,Yes-ish; needs rotation handling,model.layers.0.self_attn.q_proj,,hadamard_absmax,,7,uniform integer-like,0.012377764098346233,polar_hadamard_blockwise,hadamard,11,32768,,last_dim_block_absmax,19.073577880859375,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
3,128,,0.9687803983688354,,Yes-ish; needs rotation handling,model.layers.0.self_attn.q_proj,,hadamard_absmax,,3,uniform integer-like,0.0676293820142746,polar_hadamard_blockwise,hadamard,11,32768,,last_dim_block_absmax,11.698646545410156,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
2,128,,0.764651894569397,,Yes-ish; needs rotation handling,model.layers.0.self_attn.q_proj,,hadamard_absmax,,1,uniform integer-like,0.559753954410553,polar_hadamard_blockwise,hadamard,11,32768,,last_dim_block_absmax,2.5200283527374268,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,128,gaussian_lloyd_max_standard_normal,0.9964129328727722,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,16,hadamard_lm,,,non-uniform codebook,0.00895988941192627,polar_hadamard_blockwise,hadamard,11,,,,20.476972579956055,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
3,128,gaussian_lloyd_max_standard_normal,0.984550416469574,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,8,hadamard_lm,,,non-uniform codebook,0.032385777682065964,polar_hadamard_blockwise,hadamard,11,,,,14.896455764770508,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
2,128,gaussian_lloyd_max_standard_normal,0.9442326426506042,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,4,hadamard_lm,,,non-uniform codebook,0.10987038910388947,polar_hadamard_blockwise,hadamard,11,,,,9.591193199157715,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,128,gaussian_lloyd_max_standard_normal,0.996412456035614,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,16,randhadamard_lm,,,non-uniform codebook,0.008977629244327545,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,20.4683837890625,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
3,128,gaussian_lloyd_max_standard_normal,0.9845008254051208,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,8,randhadamard_lm,,,non-uniform codebook,0.032480593770742416,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,14.883760452270508,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
2,128,gaussian_lloyd_max_standard_normal,0.943954348564148,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,4,randhadamard_lm,,,non-uniform codebook,0.11037380248308182,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,9.57133960723877,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,128,gaussian_lloyd_max_standard_normal,0.9961903095245361,,No; dense random rotation is numeric-only in this experiment,model.layers.0.self_attn.q_proj,16,randortho_lm,,,non-uniform codebook,0.009392199106514454,polar_random_orthogonal_blockwise,random_orthogonal,11,,,,20.272327423095703,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
