activation_bits,bits,block_size,codebook,compute_interpretation,cosine,element_format,layer_index,levels,method,mxfp4_group_size,original_finite_ratio,original_inf_count,original_kurtosis,original_max_mean_ratio,original_mean,original_nan_count,original_numel,original_outlier_ratio_3sigma,original_std,qmax,quantizer_type,relative_mse,rotated_finite_ratio,rotated_inf_count,rotated_kurtosis,rotated_max_mean_ratio,rotated_mean,rotated_nan_count,rotated_numel,rotated_outlier_ratio_3sigma,rotated_std,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,site,sqnr_db
4,4,128,,block-wise uniform fake quant; future INT mapping is plausible,0.9949893951416016,,0,,direct_absmax,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,7,uniform integer-like,0.010618994012475014,1.0,0,10.889052391052246,12.742881774902344,8.115041055134498e-06,0,1048576,0.03425407409667969,0.08895434439182281,none,none,,8192,,last_dim_block_absmax,attn_input,19.739166259765625
3,3,128,,block-wise uniform fake quant; future INT mapping is plausible,0.9886946678161621,,0,,direct_absmax,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,3,uniform integer-like,0.023073406890034676,1.0,0,10.889052391052246,12.742881774902344,8.115041055134498e-06,0,1048576,0.03425407409667969,0.08895434439182281,none,none,,8192,,last_dim_block_absmax,attn_input,16.36888313293457
2,2,128,,block-wise uniform fake quant; future INT mapping is plausible,0.9661741256713867,,0,,direct_absmax,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,1,uniform integer-like,0.06867773830890656,1.0,0,10.889052391052246,12.742881774902344,8.115041055134498e-06,0,1048576,0.03425407409667969,0.08895434439182281,none,none,,8192,,last_dim_block_absmax,attn_input,11.631840705871582
4,4,128,,MXFP4 E2M1 fake quant with 32-value group scales,0.9940468072891235,E2M1,0,,mxfp4,32,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,,mxfp4_e2m1_fake_quant,0.012929882854223251,1.0,0,10.889052391052246,12.742881774902344,8.115041055134498e-06,0,1048576,0.03425407409667969,0.08895434439182281,none,none,,32768,E8M0_like_power2,group_power2,attn_input,18.88405418395996
4,4,128,,rotation + uniform fake quant; needs rotation handling,0.9987277984619141,,0,,rot_absmax,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,7,uniform integer-like,0.0036840224638581276,1.0,0,10.889052391052246,12.742881774902344,8.115041055134498e-06,0,1048576,0.03425407409667969,0.08895434439182281,block_hadamard_last_dim,hadamard,11,8192,,last_dim_block_absmax,attn_input,24.336776733398438
3,3,128,,rotation + uniform fake quant; needs rotation handling,0.9899641275405884,,0,,rot_absmax,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,3,uniform integer-like,0.02253694087266922,1.0,0,10.889052391052246,12.742881774902344,8.115041055134498e-06,0,1048576,0.03425407409667969,0.08895434439182281,block_hadamard_last_dim,hadamard,11,8192,,last_dim_block_absmax,attn_input,16.471050262451172
2,2,128,,rotation + uniform fake quant; needs rotation handling,0.9598475694656372,,0,,rot_absmax,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,1,uniform integer-like,0.15198136866092682,1.0,0,10.889052391052246,12.742881774902344,8.115041055134498e-06,0,1048576,0.03425407409667969,0.08895434439182281,block_hadamard_last_dim,hadamard,11,8192,,last_dim_block_absmax,attn_input,8.182096481323242
4,4,128,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9968481659889221,,0,16,rot_lm,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,,non-uniform codebook,0.007415734231472015,1.0,0,10.889052391052246,12.742881774902344,8.115041055134498e-06,0,1048576,0.03425407409667969,0.08895434439182281,block_hadamard_last_dim,hadamard,11,,,block_rms,attn_input,21.298458099365234
3,3,128,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9811345934867859,,0,8,rot_lm,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,,non-uniform codebook,0.03844904154539108,1.0,0,10.889052391052246,12.742881774902344,8.115041055134498e-06,0,1048576,0.03425407409667969,0.08895434439182281,block_hadamard_last_dim,hadamard,11,,,block_rms,attn_input,14.151144981384277
2,2,128,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9376802444458008,,0,4,rot_lm,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,,non-uniform codebook,0.1548740565776825,1.0,0,10.889052391052246,12.742881774902344,8.115041055134498e-06,0,1048576,0.03425407409667969,0.08895434439182281,block_hadamard_last_dim,hadamard,11,,,block_rms,attn_input,8.100213050842285
4,4,128,,block-wise uniform fake quant; future INT mapping is plausible,0.9808679819107056,,0,,direct_absmax,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,7,uniform integer-like,0.03964405134320259,1.0,0,14.617274284362793,17.535112380981445,-0.009309976361691952,0,1048576,0.02788066864013672,0.4745759069919586,none,none,,8192,,last_dim_block_absmax,q_proj_out,14.018219947814941
3,3,128,,block-wise uniform fake quant; future INT mapping is plausible,0.922127902507782,,0,,direct_absmax,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,3,uniform integer-like,0.16683611273765564,1.0,0,14.617274284362793,17.535112380981445,-0.009309976361691952,0,1048576,0.02788066864013672,0.4745759069919586,none,none,,8192,,last_dim_block_absmax,q_proj_out,7.777099132537842
2,2,128,,block-wise uniform fake quant; future INT mapping is plausible,0.7075348496437073,,0,,direct_absmax,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,1,uniform integer-like,0.5806637406349182,1.0,0,14.617274284362793,17.535112380981445,-0.009309976361691952,0,1048576,0.02788066864013672,0.4745759069919586,none,none,,8192,,last_dim_block_absmax,q_proj_out,2.360753059387207
4,4,128,,MXFP4 E2M1 fake quant with 32-value group scales,0.9890280365943909,E2M1,0,,mxfp4,32,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,,mxfp4_e2m1_fake_quant,0.02246028557419777,1.0,0,14.617274284362793,17.535112380981445,-0.009309976361691952,0,1048576,0.02788066864013672,0.4745759069919586,none,none,,32768,E8M0_like_power2,group_power2,q_proj_out,16.48584747314453
4,4,128,,rotation + uniform fake quant; needs rotation handling,0.9934641718864441,,0,,rot_absmax,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,7,uniform integer-like,0.01354547031223774,1.0,0,14.617274284362793,17.535112380981445,-0.009309976361691952,0,1048576,0.02788066864013672,0.4745759069919586,block_hadamard_last_dim,hadamard,11,8192,,last_dim_block_absmax,q_proj_out,18.682058334350586
3,3,128,,rotation + uniform fake quant; needs rotation handling,0.9657896757125854,,0,,rot_absmax,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,3,uniform integer-like,0.07341001182794571,1.0,0,14.617274284362793,17.535112380981445,-0.009309976361691952,0,1048576,0.02788066864013672,0.4745759069919586,block_hadamard_last_dim,hadamard,11,8192,,last_dim_block_absmax,q_proj_out,11.342447280883789
2,2,128,,rotation + uniform fake quant; needs rotation handling,0.7929328083992004,,0,,rot_absmax,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,1,uniform integer-like,0.5135344862937927,1.0,0,14.617274284362793,17.535112380981445,-0.009309976361691952,0,1048576,0.02788066864013672,0.4745759069919586,block_hadamard_last_dim,hadamard,11,8192,,last_dim_block_absmax,q_proj_out,2.894303560256958
4,4,128,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9955265522003174,,0,16,rot_lm,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,,non-uniform codebook,0.009275650605559349,1.0,0,14.617274284362793,17.535112380981445,-0.009309976361691952,0,1048576,0.02788066864013672,0.4745759069919586,block_hadamard_last_dim,hadamard,11,,,block_rms,q_proj_out,20.326555252075195
3,3,128,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9824503064155579,,0,8,rot_lm,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,,non-uniform codebook,0.0351233072578907,1.0,0,14.617274284362793,17.535112380981445,-0.009309976361691952,0,1048576,0.02788066864013672,0.4745759069919586,block_hadamard_last_dim,hadamard,11,,,block_rms,q_proj_out,14.544046401977539
2,2,128,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9366527795791626,,0,4,rot_lm,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,,non-uniform codebook,0.12376969307661057,1.0,0,14.617274284362793,17.535112380981445,-0.009309976361691952,0,1048576,0.02788066864013672,0.4745759069919586,block_hadamard_last_dim,hadamard,11,,,block_rms,q_proj_out,9.073856353759766
4,4,128,,block-wise uniform fake quant; future INT mapping is plausible,0.97434002161026,,0,,direct_absmax,,1.0,0,23.16770362854004,17.709583282470703,-0.09696276485919952,0,131072,0.01363372802734375,1.317663550376892,7,uniform integer-like,0.05340251326560974,1.0,0,5.439600467681885,7.44835901260376,-0.07291337102651596,0,131072,0.01324462890625,1.3191990852355957,none,none,,1024,,last_dim_block_absmax,k_proj_out,12.724382400512695
