a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9988129734992981,model.layers.0.self_attn.q_proj,direct_absmax,direct_absmax_w4a4,,0.0024187867529690266,none,none,,linear,26.164024353027344,4,uniform integer-like,last_dim_block_absmax
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9929154515266418,model.layers.0.self_attn.q_proj,mxfp4,mxfp4_w4a4,32,0.014167378656566143,none,none,,linear,18.487106323242188,4,mxfp4_e2m1_fake_quant,group_power2
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9997817873954773,model.layers.0.self_attn.q_proj,rot_absmax,rot_absmax_w4a4,,0.0004825314099434763,block_hadamard_last_dim,hadamard,11,linear,33.16474533081055,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9996622204780579,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w4a4,,0.0009073824039660394,block_hadamard_last_dim,hadamard,11,linear,30.422096252441406,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.999253511428833,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w3a4,,0.0019487569807097316,block_hadamard_last_dim,hadamard,11,linear,27.1024227142334,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9973452091217041,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w4a3,,0.0073475306853652,block_hadamard_last_dim,hadamard,11,linear,21.338586807250977,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9970413446426392,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w3a3,,0.008578421548008919,block_hadamard_last_dim,hadamard,11,linear,20.66592788696289,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9996721744537354,model.layers.0.self_attn.q_proj,randhadamard_lm,randhadamard_lm_w4a4,,0.0008341902866959572,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,30.787349700927734,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9992806315422058,model.layers.0.self_attn.q_proj,randhadamard_lm,randhadamard_lm_w3a4,,0.0019408983644098043,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,27.119972229003906,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,randomized Hadamard + non-uniform codebook fake quant,0.997424840927124,model.layers.0.self_attn.q_proj,randhadamard_lm,randhadamard_lm_w4a3,,0.007282351143658161,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,21.37728500366211,4,non-uniform codebook,block_rms
