method_key,method,bits,relative_mse,cosine,sqnr_db
direct_absmax_w4a4,direct_absmax,W4A4,0.04448073998383888,0.9783556921915575,15.49345064782477
mxfp4_w4a4,mxfp4,W4A4,0.024439650043458133,0.9881903366609053,17.20245583645709
randhadamard_lm_w3a4,randhadamard_lm,W3A4,0.03657388727803557,0.9826110636259054,16.454320340961605
randhadamard_lm_w4a3,randhadamard_lm,W4A3,0.036528476702908125,0.983206789988976,16.449216305435478
randhadamard_lm_w4a4,randhadamard_lm,W4A4,0.015469914085652027,0.9924784070485598,20.329174137734746
randortho_lm_w3a4,randortho_lm,W3A4,0.03795582468639575,0.9821611070013666,16.335459185885146
randortho_lm_w4a3,randortho_lm,W4A3,0.03724580029382479,0.9824117774313147,16.366433926991053
randortho_lm_w4a4,randortho_lm,W4A4,0.016069436843836583,0.9922104892018554,20.18821297682725
rot_absmax_w4a4,rot_absmax,W4A4,0.0215780338921241,0.9896861674723687,18.90351807916319
rot_lm_w3a3,rot_lm,W3A3,0.05821545949423468,0.9733649658692347,14.323914405587432
rot_lm_w3a4,rot_lm,W3A4,0.03720936999057552,0.9823363988430469,16.415884985552207
rot_lm_w4a3,rot_lm,W4A3,0.037381121327846566,0.9827840812020487,16.350576646916277
rot_lm_w4a4,rot_lm,W4A4,0.01585380160688217,0.9922991662056415,20.22192408512165
