a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,kv_rotation_backend,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,linear_rotation_backend,method,method_key,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,,model.layers.0.self_attn,0,1.0,0.0,FP16,fp16,,fp16,fp16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
16,KV-only HLM K4V4 with value rotation absorbed into o_proj,-0.025048427283763885,0.006157762836664915,0.4192993640899658,4,4.940225295513301e-08,0.008479565382003784,K4V4,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9990546703338623,0.0019772909581661224,FP16,fp16,none,attn_kv_hlm_k4v4,attn_kv_hlm_k4v4,0.9938326478004456,0.012455242685973644,0.9938308000564575,0.012455513700842857,1.0000031391779582,4.7524472061392466e-08,4.469131553719308e-08,0.006561356130987406,0.006157762836664915,0.0027221296913921833,0.9393554925918579,4,4.847984769185132e-08,o_proj_absorb,0.00835792813450098,16
4,MXFP4 W4A4 linear fake quant plus HLM K4V4,0.09672209620475769,0.0314871184527874,2.13789963722229,4,0.015305165201425552,0.02343263290822506,K4V4,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9916833639144897,0.021588681265711784,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,0.9391530752182007,0.11876754462718964,0.9391516447067261,0.118767648935318,0.9826748967170715,0.03454464394599199,0.014167378656566143,0.03355085477232933,0.0314871184527874,0.0070249768905341625,0.8774169683456421,4,0.07416138797998428,o_proj_absorb,0.08212114125490189,4
4,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,-0.02253277786076069,0.0075341020710766315,0.513278067111969,4,0.0006256662891246378,0.009013096801936626,K4V4,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9887329936027527,0.023274727165699005,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.8627708554267883,0.3314146399497986,0.8627692461013794,0.331414133310318,0.9735855658849081,0.05857976068121692,0.0009080592426471412,0.008027903735637665,0.0075341020710766315,0.0032636690884828568,0.9249267578125,4,0.17420555651187897,o_proj_absorb,0.18035244941711426,4
4,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,0.0015083331381902099,0.027693936601281166,1.8885774612426758,3,0.001117852982133627,0.03155474364757538,K3V4,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9552671313285828,0.09522930532693863,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.6633964776992798,1.1878587007522583,0.6633950471878052,1.1878550052642822,0.9378208915392557,0.15899886097759008,0.001950159203261137,0.029509058222174644,0.027693936601281166,0.010196695104241371,0.8782958984375,4,0.4739285707473755,o_proj_absorb,0.4803047776222229,3
4,randomized Hadamard LM W4A4 plus randomized HLM K4V4,0.023668333888053894,0.01175849512219429,0.8013069033622742,4,0.0005463865818455815,0.00974369514733553,K4V4,hadamard_lm,randomized_hadamard,model.layers.0.self_attn,0,0.9881402850151062,0.026189537718892097,W4A4,randhadamard_lm,randomized_hadamard,attn_randhadamard_lm_w4a4_hlm_k4v4,attn_randhadamard_lm_w4a4_hlm_k4v4,0.858188271522522,0.3479822874069214,0.8581870794296265,0.34798043966293335,0.9728058775266012,0.059771109120144196,0.0008308487595058978,0.01252917293459177,0.01175849512219429,0.003863717196509242,0.9218505620956421,4,0.17793609201908112,o_proj_absorb,0.18635350465774536,4
4,randomized Hadamard LM W3A4 plus randomized HLM K3V4,0.03249138221144676,0.03834179788827896,2.613651990890503,3,0.0012146795634180307,0.034059248864650726,K3V4,hadamard_lm,randomized_hadamard,model.layers.0.self_attn,0,0.9527074098587036,0.09588875621557236,W3A4,randhadamard_lm,randomized_hadamard,attn_randhadamard_lm_w3a4_hlm_k3v4,attn_randhadamard_lm_w3a4_hlm_k3v4,0.6688522696495056,1.0194814205169678,0.6688511371612549,1.0194778442382812,0.9412871797879537,0.14589037707385918,0.0019414820708334446,0.0408548042178154,0.03834179788827896,0.01295933686196804,0.876147449016571,4,0.43451496958732605,o_proj_absorb,0.4429130256175995,3
4,dense random orthogonal LM W4A4 plus random-orthogonal K4V4,-0.05057309940457344,0.008723657578229904,0.5923495888710022,4,0.0004918133490718901,0.009299312718212605,K4V4,hadamard_lm,random_orthogonal,model.layers.0.self_attn,0,0.9850676655769348,0.032147303223609924,W4A4,randortho_lm,random_orthogonal,attn_randortho_lm_w4a4_hlm_k4v4,attn_randortho_lm_w4a4_hlm_k4v4,0.8424137234687805,0.3813643753528595,0.8424118757247925,0.38136371970176697,0.9694997866948446,0.0688277535373345,0.0007809254457242787,0.00929542537778616,0.008723657578229904,0.003185079898685217,0.926098644733429,4,0.20521052181720734,o_proj_absorb,0.21304944157600403,4
4,dense random orthogonal LM W3A4 plus random-orthogonal K3V4,-0.10871647298336029,0.029924975708127022,2.0289053916931152,3,0.0013229717733338475,0.0332900732755661,K3V4,hadamard_lm,random_orthogonal,model.layers.0.self_attn,0,0.963465690612793,0.0742245689034462,W3A4,randortho_lm,random_orthogonal,attn_randortho_lm_w3a4_hlm_k3v4,attn_randortho_lm_w3a4_hlm_k3v4,0.6589682102203369,1.1648563146591187,0.658966600894928,1.1648536920547485,0.9365026553471884,0.16355495678726584,0.002665056614205241,0.031886324286460876,0.029924975708127022,0.01081948820501566,0.8772217035293579,4,0.4866768419742584,o_proj_absorb,0.4948643445968628,3
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,,model.layers.1.self_attn,1,1.0,0.0,FP16,fp16,,fp16,fp16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
