bits,block_size,codebook,cosine,element_format,int_gemm_friendly,layer,levels,method,mxfp4_group_size,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,64,,0.991227924823761,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.q_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.021009273827075958,none,none,,131072,E8M0_like_power2,group_power2,16.775890350341797,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,64,,0.9945693612098694,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.q_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.012600967660546303,polar_hadamard_blockwise,hadamard,11,131072,E8M0_like_power2,group_power2,18.995960235595703,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,64,gaussian_lloyd_max_standard_normal,0.9965149164199829,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,16,hadamard_lm,,non-uniform codebook,0.008785667829215527,polar_hadamard_blockwise,hadamard,11,,,,20.562252044677734,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
3,64,gaussian_lloyd_max_standard_normal,0.984925389289856,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,8,hadamard_lm,,non-uniform codebook,0.031722843647003174,polar_hadamard_blockwise,hadamard,11,,,,14.986278533935547,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,64,,0.988242506980896,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.k_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.023545317351818085,none,none,,16384,E8M0_like_power2,group_power2,16.280954360961914,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,64,,0.9938932657241821,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.k_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.012300136499106884,polar_hadamard_blockwise,hadamard,11,16384,E8M0_like_power2,group_power2,19.100900650024414,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,64,gaussian_lloyd_max_standard_normal,0.9957548379898071,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,16,hadamard_lm,,non-uniform codebook,0.008609961718320847,polar_hadamard_blockwise,hadamard,11,,,,20.649988174438477,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
3,64,gaussian_lloyd_max_standard_normal,0.9845038056373596,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,8,hadamard_lm,,non-uniform codebook,0.030993526801466942,polar_hadamard_blockwise,hadamard,11,,,,15.087289810180664,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,64,,0.9927647709846497,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.v_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.014437307603657246,none,none,,16384,E8M0_like_power2,group_power2,18.40513801574707,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,64,,0.993421733379364,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.v_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013101620599627495,polar_hadamard_blockwise,hadamard,11,16384,E8M0_like_power2,group_power2,18.826749801635742,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,64,gaussian_lloyd_max_standard_normal,0.995429515838623,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,16,hadamard_lm,,non-uniform codebook,0.009119787253439426,polar_hadamard_blockwise,hadamard,11,,,,20.4001522064209,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
3,64,gaussian_lloyd_max_standard_normal,0.9833184480667114,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,8,hadamard_lm,,non-uniform codebook,0.03309401497244835,polar_hadamard_blockwise,hadamard,11,,,,14.802504539489746,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,64,,0.994148850440979,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.o_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.015085532329976559,none,none,,131072,E8M0_like_power2,group_power2,18.214393615722656,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,64,,0.9942609071731567,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.o_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013114518485963345,polar_hadamard_blockwise,hadamard,11,131072,E8M0_like_power2,group_power2,18.82247543334961,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,64,gaussian_lloyd_max_standard_normal,0.9962893128395081,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.o_proj,16,hadamard_lm,,non-uniform codebook,0.00908353365957737,polar_hadamard_blockwise,hadamard,11,,,,20.417451858520508,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
3,64,gaussian_lloyd_max_standard_normal,0.9841894507408142,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.o_proj,8,hadamard_lm,,non-uniform codebook,0.032992172986269,polar_hadamard_blockwise,hadamard,11,,,,14.81589126586914,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,64,,0.9995622634887695,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.mlp.gate_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.01402705442160368,none,none,,360448,E8M0_like_power2,group_power2,18.53033447265625,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
4,64,,0.9960580468177795,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.mlp.gate_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013140710070729256,polar_hadamard_blockwise,hadamard,11,360448,E8M0_like_power2,group_power2,18.813812255859375,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
4,64,gaussian_lloyd_max_standard_normal,0.9980670809745789,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.mlp.gate_proj,16,hadamard_lm,,non-uniform codebook,0.009166705422103405,polar_hadamard_blockwise,hadamard,11,,,,20.377866744995117,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
3,64,gaussian_lloyd_max_standard_normal,0.9858238697052002,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.mlp.gate_proj,8,hadamard_lm,,non-uniform codebook,0.03333760425448418,polar_hadamard_blockwise,hadamard,11,,,,14.770655632019043,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
4,64,,0.9993700981140137,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.mlp.up_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.013766997493803501,none,none,,360448,E8M0_like_power2,group_power2,18.61160659790039,1.0,0,3.243784189224243,12.798120498657227,-7.822275165381143e-07,0,11534336,0.0036104375030845404,0.016835834830999374
4,64,,0.9959380030632019,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.mlp.up_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013164130039513111,polar_hadamard_blockwise,hadamard,11,360448,E8M0_like_power2,group_power2,18.80607795715332,1.0,0,3.243784189224243,12.798120498657227,-7.822275165381143e-07,0,11534336,0.0036104375030845404,0.016835834830999374
4,64,gaussian_lloyd_max_standard_normal,0.9979667067527771,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.mlp.up_proj,16,hadamard_lm,,non-uniform codebook,0.00917917862534523,polar_hadamard_blockwise,hadamard,11,,,,20.37196159362793,1.0,0,3.243784189224243,12.798120498657227,-7.822275165381143e-07,0,11534336,0.0036104375030845404,0.016835834830999374
3,64,gaussian_lloyd_max_standard_normal,0.9856950640678406,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.mlp.up_proj,8,hadamard_lm,,non-uniform codebook,0.03342173621058464,polar_hadamard_blockwise,hadamard,11,,,,14.759710311889648,1.0,0,3.243784189224243,12.798120498657227,-7.822275165381143e-07,0,11534336,0.0036104375030845404,0.016835834830999374
4,64,,0.9995295405387878,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.mlp.down_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.013998113572597504,none,none,,360448,E8M0_like_power2,group_power2,18.539304733276367,1.0,0,4.7773566246032715,39.886314392089844,3.653268549896893e-06,0,11534336,0.004308873787522316,0.016640961170196533
4,64,,0.9960066080093384,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.mlp.down_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013149101287126541,polar_hadamard_blockwise,hadamard,11,360448,E8M0_like_power2,group_power2,18.811038970947266,1.0,0,4.7773566246032715,39.886314392089844,3.653268549896893e-06,0,11534336,0.004308873787522316,0.016640961170196533
4,64,gaussian_lloyd_max_standard_normal,0.9980151653289795,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.mlp.down_proj,16,hadamard_lm,,non-uniform codebook,0.009160192683339119,polar_hadamard_blockwise,hadamard,11,,,,20.38095474243164,1.0,0,4.7773566246032715,39.886314392089844,3.653268549896893e-06,0,11534336,0.004308873787522316,0.016640961170196533
3,64,gaussian_lloyd_max_standard_normal,0.9857641458511353,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.mlp.down_proj,8,hadamard_lm,,non-uniform codebook,0.03337198123335838,polar_hadamard_blockwise,hadamard,11,,,,14.766179084777832,1.0,0,4.7773566246032715,39.886314392089844,3.653268549896893e-06,0,11534336,0.004308873787522316,0.016640961170196533
4,64,,0.9932309985160828,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.1.self_attn.q_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.015355152077972889,none,none,,131072,E8M0_like_power2,group_power2,18.13745880126953,1.0,0,7.96602725982666,29.102100372314453,3.362728875799803e-06,0,4194304,0.013652324676513672,0.029352596029639244
4,64,,0.9941941499710083,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.1.self_attn.q_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013067060150206089,polar_hadamard_blockwise,hadamard,11,131072,E8M0_like_power2,group_power2,18.838220596313477,1.0,0,7.96602725982666,29.102100372314453,3.362728875799803e-06,0,4194304,0.013652324676513672,0.029352596029639244
