activation_bits,bits,block_size,codebook,compute_interpretation,cosine,element_format,layer_index,levels,method,mxfp4_group_size,original_finite_ratio,original_inf_count,original_kurtosis,original_max_mean_ratio,original_mean,original_nan_count,original_numel,original_outlier_ratio_3sigma,original_std,quantizer_type,relative_mse,rotated_finite_ratio,rotated_inf_count,rotated_kurtosis,rotated_max_mean_ratio,rotated_mean,rotated_nan_count,rotated_numel,rotated_outlier_ratio_3sigma,rotated_std,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,site,sqnr_db
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9940468072891235,E2M1,0,,mxfp4,32,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,mxfp4_e2m1_fake_quant,0.012929882854223251,1.0,0,37.497047424316406,27.550994873046875,1.4770193956792355e-07,0,1048576,0.01989459991455078,0.0889541506767273,none,none,,32768,E8M0_like_power2,group_power2,attn_input,18.88405418395996
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9946935176849365,E2M1,0,,rot_mxfp4,32,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,mxfp4_e2m1_fake_quant,0.01199280098080635,1.0,0,37.497047424316406,27.550994873046875,1.4770193956792355e-07,0,1048576,0.01989459991455078,0.0889541506767273,block_hadamard_last_dim,hadamard,11,32768,E8M0_like_power2,group_power2,attn_input,19.21079444885254
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9985566735267639,,0,16,rot_lm,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,non-uniform codebook,0.0049638100899755955,1.0,0,37.497047424316406,27.550994873046875,1.4770193956792355e-07,0,1048576,0.01989459991455078,0.0889541506767273,block_hadamard_last_dim,hadamard,11,,,block_rms,attn_input,23.04184913635254
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9813094139099121,,0,8,rot_lm,,1.0,0,1095.0552978515625,410.7300720214844,0.0010684215230867267,0,1048576,0.0063877105712890625,0.08894845843315125,non-uniform codebook,0.04842950776219368,1.0,0,37.497047424316406,27.550994873046875,1.4770193956792355e-07,0,1048576,0.01989459991455078,0.0889541506767273,block_hadamard_last_dim,hadamard,11,,,block_rms,attn_input,13.14889907836914
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9890280365943909,E2M1,0,,mxfp4,32,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,mxfp4_e2m1_fake_quant,0.02246028557419777,1.0,0,15.387605667114258,28.04872703552246,-0.016267996281385422,0,1048576,0.02408885955810547,0.4743901193141937,none,none,,32768,E8M0_like_power2,group_power2,q_proj_out,16.48584747314453
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9939939975738525,E2M1,0,,rot_mxfp4,32,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,mxfp4_e2m1_fake_quant,0.012572511099278927,1.0,0,15.387605667114258,28.04872703552246,-0.016267996281385422,0,1048576,0.02408885955810547,0.4743901193141937,block_hadamard_last_dim,hadamard,11,32768,E8M0_like_power2,group_power2,q_proj_out,19.005779266357422
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9959816932678223,,0,16,rot_lm,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,non-uniform codebook,0.00837329588830471,1.0,0,15.387605667114258,28.04872703552246,-0.016267996281385422,0,1048576,0.02408885955810547,0.4743901193141937,block_hadamard_last_dim,hadamard,11,,,block_rms,q_proj_out,20.77103614807129
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9845905900001526,,0,8,rot_lm,,1.0,0,52.08960723876953,55.546573638916016,-0.0040247198194265366,0,1048576,0.020374298095703125,0.47464969754219055,non-uniform codebook,0.031010251492261887,1.0,0,15.387605667114258,28.04872703552246,-0.016267996281385422,0,1048576,0.02408885955810547,0.4743901193141937,block_hadamard_last_dim,hadamard,11,,,block_rms,q_proj_out,15.08494758605957
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.990007758140564,E2M1,0,,mxfp4,32,1.0,0,23.16770362854004,17.709583282470703,-0.09696276485919952,0,131072,0.01363372802734375,1.317663550376892,mxfp4_e2m1_fake_quant,0.020126059651374817,1.0,0,6.413553237915039,8.982993125915527,-0.09192654490470886,0,131072,0.016876220703125,1.3180139064788818,none,none,,4096,E8M0_like_power2,group_power2,k_proj_out,16.962411880493164
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9938440918922424,E2M1,0,,rot_mxfp4,32,1.0,0,23.16770362854004,17.709583282470703,-0.09696276485919952,0,131072,0.01363372802734375,1.317663550376892,mxfp4_e2m1_fake_quant,0.012315046042203903,1.0,0,6.413553237915039,8.982993125915527,-0.09192654490470886,0,131072,0.016876220703125,1.3180139064788818,block_hadamard_last_dim,hadamard,11,4096,E8M0_like_power2,group_power2,k_proj_out,19.095640182495117
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.995725154876709,,0,16,rot_lm,,1.0,0,23.16770362854004,17.709583282470703,-0.09696276485919952,0,131072,0.01363372802734375,1.317663550376892,non-uniform codebook,0.008546303026378155,1.0,0,6.413553237915039,8.982993125915527,-0.09192654490470886,0,131072,0.016876220703125,1.3180139064788818,block_hadamard_last_dim,hadamard,11,,,block_rms,k_proj_out,20.682218551635742
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9843235611915588,,0,8,rot_lm,,1.0,0,23.16770362854004,17.709583282470703,-0.09696276485919952,0,131072,0.01363372802734375,1.317663550376892,non-uniform codebook,0.03120155818760395,1.0,0,6.413553237915039,8.982993125915527,-0.09192654490470886,0,131072,0.016876220703125,1.3180139064788818,block_hadamard_last_dim,hadamard,11,,,block_rms,k_proj_out,15.058237075805664
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9880917072296143,E2M1,0,,mxfp4,32,1.0,0,45.647823333740234,45.938453674316406,-0.0001999708911171183,0,131072,0.024261474609375,0.012888249009847641,mxfp4_e2m1_fake_quant,0.02375303953886032,1.0,0,5.754156112670898,9.341537475585938,4.955074837198481e-05,0,131072,0.012603759765625,0.012889673933386803,none,none,,4096,E8M0_like_power2,group_power2,v_proj_out,16.242807388305664
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9938281774520874,E2M1,0,,rot_mxfp4,32,1.0,0,45.647823333740234,45.938453674316406,-0.0001999708911171183,0,131072,0.024261474609375,0.012888249009847641,mxfp4_e2m1_fake_quant,0.012372252531349659,1.0,0,5.754156112670898,9.341537475585938,4.955074837198481e-05,0,131072,0.012603759765625,0.012889673933386803,block_hadamard_last_dim,hadamard,11,4096,E8M0_like_power2,group_power2,v_proj_out,19.075511932373047
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9960021376609802,,0,16,rot_lm,,1.0,0,45.647823333740234,45.938453674316406,-0.0001999708911171183,0,131072,0.024261474609375,0.012888249009847641,non-uniform codebook,0.0079993000254035,1.0,0,5.754156112670898,9.341537475585938,4.955074837198481e-05,0,131072,0.012603759765625,0.012889673933386803,block_hadamard_last_dim,hadamard,11,,,block_rms,v_proj_out,20.969478607177734
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9858938455581665,,0,8,rot_lm,,1.0,0,45.647823333740234,45.938453674316406,-0.0001999708911171183,0,131072,0.024261474609375,0.012888249009847641,non-uniform codebook,0.028211049735546112,1.0,0,5.754156112670898,9.341537475585938,4.955074837198481e-05,0,131072,0.012603759765625,0.012889673933386803,block_hadamard_last_dim,hadamard,11,,,block_rms,v_proj_out,15.495807647705078
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9884313941001892,E2M1,0,,mxfp4,32,1.0,0,85.74452209472656,66.85336303710938,4.9797832616604865e-05,0,1048576,0.009524345397949219,0.061186548322439194,mxfp4_e2m1_fake_quant,0.023354481905698776,1.0,0,6.104484558105469,16.492717742919922,-1.4169960195431486e-05,0,1048576,0.011579513549804688,0.061186518520116806,none,none,,32768,E8M0_like_power2,group_power2,ffn_input,16.31629753112793
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9942388534545898,E2M1,0,,rot_mxfp4,32,1.0,0,85.74452209472656,66.85336303710938,4.9797832616604865e-05,0,1048576,0.009524345397949219,0.061186548322439194,mxfp4_e2m1_fake_quant,0.012569829821586609,1.0,0,6.104484558105469,16.492717742919922,-1.4169960195431486e-05,0,1048576,0.011579513549804688,0.061186518520116806,block_hadamard_last_dim,hadamard,11,32768,E8M0_like_power2,group_power2,ffn_input,19.00670623779297
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9958364367485046,,0,16,rot_lm,,1.0,0,85.74452209472656,66.85336303710938,4.9797832616604865e-05,0,1048576,0.009524345397949219,0.061186548322439194,non-uniform codebook,0.008511058054864407,1.0,0,6.104484558105469,16.492717742919922,-1.4169960195431486e-05,0,1048576,0.011579513549804688,0.061186518520116806,block_hadamard_last_dim,hadamard,11,,,block_rms,ffn_input,20.700164794921875
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9846645593643188,,0,8,rot_lm,,1.0,0,85.74452209472656,66.85336303710938,4.9797832616604865e-05,0,1048576,0.009524345397949219,0.061186548322439194,non-uniform codebook,0.030745012685656548,1.0,0,6.104484558105469,16.492717742919922,-1.4169960195431486e-05,0,1048576,0.011579513549804688,0.061186518520116806,block_hadamard_last_dim,hadamard,11,,,block_rms,ffn_input,15.122252464294434
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9921050071716309,E2M1,0,,mxfp4,32,1.0,0,3104.332763671875,526.7015991210938,3.222845771233551e-05,0,2883584,0.00659318407997489,0.0031951419077813625,mxfp4_e2m1_fake_quant,0.018960624933242798,1.0,0,106.90834045410156,72.26045989990234,1.8111928511643782e-05,0,2883584,0.011921275407075882,0.0031952429562807083,none,none,,90112,E8M0_like_power2,group_power2,ffn_intermediate,17.221473693847656
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9950698614120483,E2M1,0,,rot_mxfp4,32,1.0,0,3104.332763671875,526.7015991210938,3.222845771233551e-05,0,2883584,0.00659318407997489,0.0031951419077813625,mxfp4_e2m1_fake_quant,0.011836519464850426,1.0,0,106.90834045410156,72.26045989990234,1.8111928511643782e-05,0,2883584,0.011921275407075882,0.0031952429562807083,block_hadamard_last_dim,hadamard,11,90112,E8M0_like_power2,group_power2,ffn_intermediate,19.267759323120117
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9977179169654846,,0,16,rot_lm,,1.0,0,3104.332763671875,526.7015991210938,3.222845771233551e-05,0,2883584,0.00659318407997489,0.0031951419077813625,non-uniform codebook,0.006919995881617069,1.0,0,106.90834045410156,72.26045989990234,1.8111928511643782e-05,0,2883584,0.011921275407075882,0.0031952429562807083,block_hadamard_last_dim,hadamard,11,,,block_rms,ffn_intermediate,21.598941802978516
