a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,down_activation_quantizer_type,down_weight_quantizer_type,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
16,,,FP16,,baseline,1.0000139474868774,,,model.layers.0.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,76.10737609863281,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9850944876670837,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.0.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.030666831880807877,none,none,,ffn,15.133310317993164,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9898085594177246,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.0.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.021637748926877975,block_hadamard_last_dim,hadamard,11,ffn,16.647878646850586,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.992924153804779,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,rot_lm,ffn_rot_lm_w4a4,,0.01472519338130951,block_hadamard_last_dim,hadamard,11,ffn,18.31938934326172,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9835880994796753,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,rot_lm,ffn_rot_lm_w3a4,,0.03810896351933479,block_hadamard_last_dim,hadamard,11,ffn,14.189728736877441,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,1.0000001192092896,,,model.layers.1.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,78.76273345947266,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9784213304519653,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.1.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.04281711205840111,none,none,,ffn,13.683825492858887,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9819387197494507,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.1.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.035983942449092865,block_hadamard_last_dim,hadamard,11,ffn,14.438913345336914,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.987731397151947,non-uniform codebook,non-uniform codebook,model.layers.1.mlp,rot_lm,ffn_rot_lm_w4a4,,0.024952340871095657,block_hadamard_last_dim,hadamard,11,ffn,16.028886795043945,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9711402654647827,non-uniform codebook,non-uniform codebook,model.layers.1.mlp,rot_lm,ffn_rot_lm_w3a4,,0.060290053486824036,block_hadamard_last_dim,hadamard,11,ffn,12.197543144226074,3,non-uniform codebook,block_rms
