bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_block_size,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,rotation_backend,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.0.self_attn,0,fp16,fp16,1.0000487565994263,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,-0.020861294120550156,0.005957655608654022,0.40584537386894226,4,0.008479686453938484,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k4v4,0.9939725995063782,0.012188602238893509,hadamard,0.00634813355281949,0.005957655608654022,0.0026450923178344965,0.939453125,4,0.008357872255146503,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.004423090256750584,0.007409875281155109,0.5052946209907532,4,0.008623686619102955,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k4v4_h32,0.9932196140289307,0.013631036505103111,hadamard,0.007895534858107567,0.007409875281155109,0.003149815835058689,0.9356933832168579,4,0.008756591938436031,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,-0.03679591417312622,0.0238613560795784,1.6258642673492432,3,0.03072323091328144,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k3v4,0.9836889505386353,0.03256721422076225,hadamard,0.02542528323829174,0.0238613560795784,0.010145959444344044,0.887402355670929,4,0.008357872255146503,per_token_head_rms
K3V4,head-internal H32 key bit reduction,-0.07472370564937592,0.02687585912644863,1.8272074460983276,3,0.030734628438949585,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k3v4_h32,0.9842213988304138,0.031513363122940063,hadamard,0.028637362644076347,0.02687585912644863,0.010365171357989311,0.8898681402206421,4,0.008756591938436031,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.1.self_attn,1,fp16,fp16,1.0000150203704834,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.0901712030172348,0.0036921396385878325,2.3191847801208496,4,0.009811448864638805,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.1.self_attn,1,hadamard_lm,hadamard_lm_k4v4,0.986350417137146,0.027225123718380928,hadamard,0.03636430948972702,0.0036921396385878325,0.010662756860256195,0.9266601800918579,4,0.008697262965142727,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.11810280382633209,0.0036104985047131777,2.2619056701660156,4,0.009057341143488884,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.1.self_attn,1,hadamard_lm,hadamard_lm_k4v4_h32,0.9874293804168701,0.025049464777112007,hadamard,0.03556021675467491,0.0036104985047131777,0.011632498353719711,0.9239501953125,4,0.008979841135442257,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.37658023834228516,0.013447185046970844,8.334531784057617,3,0.03558766096830368,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.1.self_attn,1,hadamard_lm,hadamard_lm_k3v4,0.9683436751365662,0.062375329434871674,hadamard,0.1324428766965866,0.013447185046970844,0.0353739969432354,0.8734130859375,4,0.008697262965142727,per_token_head_rms
K3V4,head-internal H32 key bit reduction,0.40780317783355713,0.014104302041232586,8.724249839782715,3,0.03276060149073601,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.1.self_attn,1,hadamard_lm,hadamard_lm_k3v4_h32,0.9675037860870361,0.06466753035783768,hadamard,0.13891489803791046,0.014104302041232586,0.03813439607620239,0.8720703125,4,0.008979841135442257,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.2.self_attn,2,fp16,fp16,1.0000191926956177,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.12768930196762085,0.0065598455257713795,1.758817195892334,4,0.0092901811003685,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k4v4,0.9878474473953247,0.024276738986372948,hadamard,0.027736276388168335,0.0065598455257713795,0.007865681312978268,0.93701171875,4,0.009321643970906734,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.0657312422990799,0.005719352047890425,1.5433599948883057,4,0.009897464886307716,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k4v4_h32,0.9892210960388184,0.021479155868291855,hadamard,0.024182509630918503,0.005719352047890425,0.0066520776599645615,0.9434570074081421,4,0.008965582586824894,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.3113171458244324,0.024292102083563805,6.476625919342041,3,0.034195031970739365,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k3v4,0.9698967337608337,0.06012390926480293,hadamard,0.10271163284778595,0.024292102083563805,0.028968365862965584,0.889599621295929,4,0.009321643970906734,per_token_head_rms
K3V4,head-internal H32 key bit reduction,0.27867141366004944,0.022701062262058258,6.065344333648682,3,0.03590306267142296,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k3v4_h32,0.9718372821807861,0.055823687463998795,hadamard,0.09598441421985626,0.022701062262058258,0.024865606799721718,0.9002441167831421,4,0.008965582586824894,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.3.self_attn,3,fp16,fp16,1.000016212463379,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.28182485699653625,0.002036274876445532,3.4440648555755615,4,0.008826357312500477,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k4v4,0.9832004308700562,0.035418801009655,hadamard,0.05505453050136566,0.002036274876445532,0.004050524439662695,0.9117676019668579,4,0.008882631547749043,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.3193816542625427,0.0019167565042153,3.214674949645996,4,0.009188754484057426,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k4v4_h32,0.9835621118545532,0.03403295576572418,hadamard,0.051823124289512634,0.0019167565042153,0.0037275643553584814,0.9107666015625,4,0.00910326186567545,per_token_head_rms
