a_bits,block_size,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_block_size,kv_method,kv_rotation_backend,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,linear_rotation_backend,method,method_key,mxfp4_group_size,o_proj_domain_block_size,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.0.self_attn,0,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,128,MXFP4 W4A4 linear fake quant plus HLM K4V4,0.09672209620475769,0.0314871184527874,2.13789963722229,4,0.015305165201425552,0.02343263290822506,K4V4,64,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9916833639144897,0.021588681265711784,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9391530752182007,0.11876754462718964,0.9391516447067261,0.118767648935318,0.9826748967170715,0.03454464394599199,0.014167378656566143,0.03355085477232933,0.0314871184527874,0.0070249768905341625,0.8774169683456421,4,0.07416138797998428,o_proj_absorb,0.08212114125490189,4
4,128,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,0.029159486293792725,0.010535014793276787,0.7175819873809814,4,0.0011974731460213661,0.009448605589568615,K4V4,64,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9772270321846008,0.05390504375100136,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.7955660820007324,0.5047472715377808,0.7955649495124817,0.5047450661659241,0.9602018197377523,0.09251464057403307,0.0016881560441106558,0.01122550293803215,0.010535014793276787,0.003952302969992161,0.9169677495956421,4,0.27465829253196716,o_proj_absorb,0.2839066982269287,4
4,128,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,-0.02253277786076069,0.0075341020710766315,0.513278067111969,4,0.0006256662891246378,0.009013096801936626,K4V4,64,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9887329936027527,0.023274727165699005,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.8627708554267883,0.3314146399497986,0.8627692461013794,0.331414133310318,0.9735855658849081,0.05857976068121692,0.0009080592426471412,0.008027903735637665,0.0075341020710766315,0.0032636690884828568,0.9249267578125,4,0.17420555651187897,o_proj_absorb,0.18035244941711426,4
4,128,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,0.0015083331381902099,0.027693936601281166,1.8885774612426758,3,0.001117852982133627,0.03155474364757538,K3V4,64,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9552671313285828,0.09522930532693863,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.6633964776992798,1.1878587007522583,0.6633950471878052,1.1878550052642822,0.9378208915392557,0.15899886097759008,0.001950159203261137,0.029509058222174644,0.027693936601281166,0.010196695104241371,0.8782958984375,4,0.4739285707473755,o_proj_absorb,0.4803047776222229,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.1.self_attn,1,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,128,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.7511560916900635,0.026822157204151154,13.84062385559082,4,0.015217702835798264,0.024922022596001625,K4V4,64,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.9103655815124512,0.17264911532402039,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.8569299578666687,0.28058406710624695,0.856927752494812,0.2805846929550171,0.9776656230290731,0.04533167245487372,0.017208663746714592,0.26417452096939087,0.026822157204151154,0.035357534885406494,0.8854736089706421,4,0.1035686507821083,o_proj_absorb,0.1110781654715538,4
4,128,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,0.3924262225627899,0.006886713672429323,4.186995983123779,4,0.0012366818264126778,0.01105867326259613,K4V4,64,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.823076605796814,0.4058219790458679,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.5949395895004272,1.751232385635376,0.5949387550354004,1.7512305974960327,0.9515942136446635,0.11725686374120414,0.0032926269341260195,0.06782803684473038,0.006886713672429323,0.014380357228219509,0.9132080078125,4,0.34724128246307373,o_proj_absorb,0.3532959222793579,4
4,128,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.665898323059082,0.006823914125561714,3.8579888343811035,4,0.0008922541746869683,0.010728058405220509,K4V4,64,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.8648726940155029,0.3004189729690552,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.6531463265419006,1.2263236045837402,0.6531451940536499,1.2263226509094238,0.9636613726615906,0.08415948417192946,0.002399429213255644,0.06720951944589615,0.006823914125561714,0.014444215223193169,0.915478527545929,4,0.24918676912784576,o_proj_absorb,0.2577706277370453,4
4,128,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,1.4139249324798584,0.021709393709897995,11.685189247131348,3,0.0025586746633052826,0.03802308440208435,K3V4,64,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.6876220703125,0.7851446866989136,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.4230586588382721,3.4276962280273438,0.4230588972568512,3.42769193649292,0.9287939270337423,0.18748718484615287,0.006031367462128401,0.21381832659244537,0.021709393709897995,0.04096345603466034,0.8647216558456421,4,0.5538715124130249,o_proj_absorb,0.5587705969810486,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.2.self_attn,2,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,128,MXFP4 W4A4 linear fake quant plus HLM K4V4,0.4039478600025177,0.018731199204921722,4.905566692352295,4,0.0077926162630319595,0.017205484211444855,K4V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9409933090209961,0.11475428938865662,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.8688568472862244,0.2667262852191925,0.8688550591468811,0.2667250633239746,0.9785792827606201,0.04265542017916838,0.00990249589085579,0.07919907569885254,0.018731199204921722,0.021541226655244827,0.902514636516571,4,0.1102711483836174,o_proj_absorb,0.11827714741230011,4
4,128,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,0.4640558958053589,0.011224818415939808,2.8221352100372314,4,0.0018869963241741061,0.01111655868589878,K4V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9201703071594238,0.1576176881790161,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.7609596848487854,0.6765116453170776,0.7609573602676392,0.6765140891075134,0.9758039514223734,0.05233760236296803,0.004572792910039425,0.04746067151427269,0.011224818415939808,0.012329444289207458,0.925341784954071,4,0.15055301785469055,o_proj_absorb,0.15871109068393707,4
4,128,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.29437947273254395,0.009877882897853851,2.5863373279571533,4,0.0013033893192186952,0.010557049885392189,K4V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9383899569511414,0.12176217883825302,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.7816293239593506,0.564850389957428,0.7816268801689148,0.5648524761199951,0.9817306399345398,0.03831980187290659,0.003087820718064904,0.041765570640563965,0.009877882897853851,0.010948712937533855,0.932055652141571,4,0.11056819558143616,o_proj_absorb,0.11941643059253693,4
4,128,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,0.8945591449737549,0.03399759903550148,8.399657249450684,3,0.003911172039806843,0.03782270476222038,K3V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.8046771287918091,0.3817242681980133,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.5488412976264954,1.6882236003875732,0.5488404631614685,1.688226342201233,0.9592059850692749,0.0913283343737324,0.007843583822250366,0.14374832808971405,0.03399759903550148,0.035617645829916,0.8787841796875,4,0.26223024725914,o_proj_absorb,0.2699921131134033,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.3.self_attn,3,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,128,MXFP4 W4A4 linear fake quant plus HLM K4V4,2.0742759704589844,0.00721535412594676,8.18254280090332,4,0.006044476293027401,0.014755775220692158,K4V4,64,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.947778046131134,0.1141161322593689,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9335323572158813,0.1557672917842865,0.9335309267044067,0.15576575696468353,0.9901997645696005,0.019814895155529182,0.006139678880572319,0.1950806975364685,0.00721535412594676,0.012335273437201977,0.877148449420929,4,0.047260530292987823,o_proj_absorb,0.055509909987449646,4
4,128,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.7068605422973633,0.004539939574897289,4.942359924316406,4,0.0024198153987526894,0.011196176521480083,K4V4,64,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.9509869813919067,0.10529138892889023,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.9282572865486145,0.1629604697227478,0.9282554388046265,0.16296009719371796,0.9930362105369568,0.014063348527997732,0.0031307372264564037,0.1227458268404007,0.004539939574897289,0.008602188900113106,0.894482433795929,4,0.0366394929587841,o_proj_absorb,0.04559721797704697,4
