bits,block_size,codebook,cosine,int_gemm_friendly,layer,levels,method,mxfp4_group_size,qmax,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,128,,0.9903841018676758,Yes,model.layers.0.self_attn.q_proj,,direct_absmax,,7,uniform integer-like,0.02195507101714611,none,none,,131072,flat_block_absmax,16.584651947021484,1.0,0,23.477977752685547,78.45117950439453,2.481158389855409e-08,0,16777216,0.019396543502807617,0.017749864608049393
3,128,,0.9523199796676636,Yes,model.layers.0.self_attn.q_proj,,direct_absmax,,3,uniform integer-like,0.10287439078092575,none,none,,131072,flat_block_absmax,9.876927375793457,1.0,0,23.477977752685547,78.45117950439453,2.481158389855409e-08,0,16777216,0.019396543502807617,0.017749864608049393
2,128,,0.7386276721954346,Yes,model.layers.0.self_attn.q_proj,,direct_absmax,,1,uniform integer-like,0.5483061671257019,none,none,,131072,flat_block_absmax,2.6097683906555176,1.0,0,23.477977752685547,78.45117950439453,2.481158389855409e-08,0,16777216,0.019396543502807617,0.017749864608049393
4,128,,0.9964271783828735,Yes-ish; needs rotation handling,model.layers.0.self_attn.q_proj,,hadamard_absmax,,7,uniform integer-like,0.013166435062885284,polar_hadamard_blockwise,hadamard,0,131072,last_dim_block_absmax,18.805316925048828,1.0,0,23.477977752685547,78.45117950439453,2.481158389855409e-08,0,16777216,0.019396543502807617,0.017749864608049393
3,128,,0.9689854979515076,Yes-ish; needs rotation handling,model.layers.0.self_attn.q_proj,,hadamard_absmax,,3,uniform integer-like,0.07173378765583038,polar_hadamard_blockwise,hadamard,0,131072,last_dim_block_absmax,11.44276237487793,1.0,0,23.477977752685547,78.45117950439453,2.481158389855409e-08,0,16777216,0.019396543502807617,0.017749864608049393
2,128,,0.752163290977478,Yes-ish; needs rotation handling,model.layers.0.self_attn.q_proj,,hadamard_absmax,,1,uniform integer-like,0.5782777070999146,polar_hadamard_blockwise,hadamard,0,131072,last_dim_block_absmax,2.3786351680755615,1.0,0,23.477977752685547,78.45117950439453,2.481158389855409e-08,0,16777216,0.019396543502807617,0.017749864608049393
4,128,gaussian_lloyd_max_standard_normal,0.9983258843421936,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,16,hadamard_lm,,,non-uniform codebook,0.00909500289708376,polar_hadamard_blockwise,hadamard,0,,,20.411970138549805,1.0,0,23.477977752685547,78.45117950439453,2.481158389855409e-08,0,16777216,0.019396543502807617,0.017749864608049393
3,128,gaussian_lloyd_max_standard_normal,0.9863922595977783,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,8,hadamard_lm,,,non-uniform codebook,0.03310004249215126,polar_hadamard_blockwise,hadamard,0,,,14.801713943481445,1.0,0,23.477977752685547,78.45117950439453,2.481158389855409e-08,0,16777216,0.019396543502807617,0.017749864608049393
2,128,gaussian_lloyd_max_standard_normal,0.9445663094520569,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,4,hadamard_lm,,,non-uniform codebook,0.11321470141410828,polar_hadamard_blockwise,hadamard,0,,,9.46097183227539,1.0,0,23.477977752685547,78.45117950439453,2.481158389855409e-08,0,16777216,0.019396543502807617,0.017749864608049393
4,128,,0.9879879355430603,Yes,model.layers.0.self_attn.k_proj,,direct_absmax,,7,uniform integer-like,0.024702122434973717,none,none,,32768,flat_block_absmax,16.072656631469727,1.0,0,19.910797119140625,53.63520431518555,-7.251440365507733e-06,0,4194304,0.01998615264892578,0.025779809802770615
3,128,,0.9457488656044006,Yes,model.layers.0.self_attn.k_proj,,direct_absmax,,3,uniform integer-like,0.11530923843383789,none,none,,32768,flat_block_absmax,9.381359100341797,1.0,0,19.910797119140625,53.63520431518555,-7.251440365507733e-06,0,4194304,0.01998615264892578,0.025779809802770615
2,128,,0.728610098361969,Yes,model.layers.0.self_attn.k_proj,,direct_absmax,,1,uniform integer-like,0.5527847409248352,none,none,,32768,flat_block_absmax,2.5744400024414062,1.0,0,19.910797119140625,53.63520431518555,-7.251440365507733e-06,0,4194304,0.01998615264892578,0.025779809802770615
4,128,,0.9939841032028198,Yes-ish; needs rotation handling,model.layers.0.self_attn.k_proj,,hadamard_absmax,,7,uniform integer-like,0.013098749332129955,polar_hadamard_blockwise,hadamard,0,32768,last_dim_block_absmax,18.827701568603516,1.0,0,19.910797119140625,53.63520431518555,-7.251440365507733e-06,0,4194304,0.01998615264892578,0.025779809802770615
3,128,,0.9665520787239075,Yes-ish; needs rotation handling,model.layers.0.self_attn.k_proj,,hadamard_absmax,,3,uniform integer-like,0.07142588496208191,polar_hadamard_blockwise,hadamard,0,32768,last_dim_block_absmax,11.461443901062012,1.0,0,19.910797119140625,53.63520431518555,-7.251440365507733e-06,0,4194304,0.01998615264892578,0.025779809802770615
2,128,,0.7510856986045837,Yes-ish; needs rotation handling,model.layers.0.self_attn.k_proj,,hadamard_absmax,,1,uniform integer-like,0.5773868560791016,polar_hadamard_blockwise,hadamard,0,32768,last_dim_block_absmax,2.38533091545105,1.0,0,19.910797119140625,53.63520431518555,-7.251440365507733e-06,0,4194304,0.01998615264892578,0.025779809802770615
4,128,gaussian_lloyd_max_standard_normal,0.9959343075752258,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,16,hadamard_lm,,,non-uniform codebook,0.009076278656721115,polar_hadamard_blockwise,hadamard,0,,,20.420921325683594,1.0,0,19.910797119140625,53.63520431518555,-7.251440365507733e-06,0,4194304,0.01998615264892578,0.025779809802770615
3,128,gaussian_lloyd_max_standard_normal,0.9837985038757324,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,8,hadamard_lm,,,non-uniform codebook,0.032987333834171295,polar_hadamard_blockwise,hadamard,0,,,14.816527366638184,1.0,0,19.910797119140625,53.63520431518555,-7.251440365507733e-06,0,4194304,0.01998615264892578,0.025779809802770615
2,128,gaussian_lloyd_max_standard_normal,0.9422229528427124,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,4,hadamard_lm,,,non-uniform codebook,0.11289170384407043,polar_hadamard_blockwise,hadamard,0,,,9.473380088806152,1.0,0,19.910797119140625,53.63520431518555,-7.251440365507733e-06,0,4194304,0.01998615264892578,0.025779809802770615
4,128,,0.9901805520057678,Yes,model.layers.0.self_attn.v_proj,,direct_absmax,,7,uniform integer-like,0.02005702815949917,none,none,,32768,flat_block_absmax,16.977333068847656,1.0,0,5.243803977966309,11.199341773986816,-2.160415988328168e-06,0,4194304,0.013334989547729492,0.006510409992188215
3,128,,0.9535198211669922,Yes,model.layers.0.self_attn.v_proj,,direct_absmax,,3,uniform integer-like,0.09887348115444183,none,none,,32768,flat_block_absmax,10.049201011657715,1.0,0,5.243803977966309,11.199341773986816,-2.160415988328168e-06,0,4194304,0.013334989547729492,0.006510409992188215
2,128,,0.7289175391197205,Yes,model.layers.0.self_attn.v_proj,,direct_absmax,,1,uniform integer-like,0.580489993095398,none,none,,32768,flat_block_absmax,2.3620526790618896,1.0,0,5.243803977966309,11.199341773986816,-2.160415988328168e-06,0,4194304,0.013334989547729492,0.006510409992188215
4,128,,0.9935371279716492,Yes-ish; needs rotation handling,model.layers.0.self_attn.v_proj,,hadamard_absmax,,7,uniform integer-like,0.013569709844887257,polar_hadamard_blockwise,hadamard,0,32768,last_dim_block_absmax,18.674293518066406,1.0,0,5.243803977966309,11.199341773986816,-2.160415988328168e-06,0,4194304,0.013334989547729492,0.006510409992188215
3,128,,0.9652983546257019,Yes-ish; needs rotation handling,model.layers.0.self_attn.v_proj,,hadamard_absmax,,3,uniform integer-like,0.07390876114368439,polar_hadamard_blockwise,hadamard,0,32768,last_dim_block_absmax,11.313039779663086,1.0,0,5.243803977966309,11.199341773986816,-2.160415988328168e-06,0,4194304,0.013334989547729492,0.006510409992188215
2,128,,0.7442653775215149,Yes-ish; needs rotation handling,model.layers.0.self_attn.v_proj,,hadamard_absmax,,1,uniform integer-like,0.5850821137428284,polar_hadamard_blockwise,hadamard,0,32768,last_dim_block_absmax,2.327831745147705,1.0,0,5.243803977966309,11.199341773986816,-2.160415988328168e-06,0,4194304,0.013334989547729492,0.006510409992188215
4,128,gaussian_lloyd_max_standard_normal,0.9956278204917908,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,16,hadamard_lm,,,non-uniform codebook,0.009243707172572613,polar_hadamard_blockwise,hadamard,0,,,20.34153938293457,1.0,0,5.243803977966309,11.199341773986816,-2.160415988328168e-06,0,4194304,0.013334989547729492,0.006510409992188215
3,128,gaussian_lloyd_max_standard_normal,0.9832562804222107,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,8,hadamard_lm,,,non-uniform codebook,0.033667344599962234,polar_hadamard_blockwise,hadamard,0,,,14.727910995483398,1.0,0,5.243803977966309,11.199341773986816,-2.160415988328168e-06,0,4194304,0.013334989547729492,0.006510409992188215
2,128,gaussian_lloyd_max_standard_normal,0.9408590197563171,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,4,hadamard_lm,,,non-uniform codebook,0.11516833305358887,polar_hadamard_blockwise,hadamard,0,,,9.386669158935547,1.0,0,5.243803977966309,11.199341773986816,-2.160415988328168e-06,0,4194304,0.013334989547729492,0.006510409992188215
4,128,,0.9926195740699768,Yes,model.layers.0.self_attn.o_proj,,direct_absmax,,7,uniform integer-like,0.015765130519866943,none,none,,131072,flat_block_absmax,18.02302360534668,1.0,0,12.816642761230469,73.92637634277344,4.487258991048293e-07,0,16777216,0.0075269341468811035,0.007428206503391266
3,128,,0.9607599377632141,Yes,model.layers.0.self_attn.o_proj,,direct_absmax,,3,uniform integer-like,0.08474920690059662,none,none,,131072,flat_block_absmax,10.718643188476562,1.0,0,12.816642761230469,73.92637634277344,4.487258991048293e-07,0,16777216,0.0075269341468811035,0.007428206503391266
2,128,,0.7263404130935669,Yes,model.layers.0.self_attn.o_proj,,direct_absmax,,1,uniform integer-like,0.5994612574577332,none,none,,131072,flat_block_absmax,2.222388744354248,1.0,0,12.816642761230469,73.92637634277344,4.487258991048293e-07,0,16777216,0.0075269341468811035,0.007428206503391266
4,128,,0.9945484399795532,Yes-ish; needs rotation handling,model.layers.0.self_attn.o_proj,,hadamard_absmax,,7,uniform integer-like,0.013722337782382965,polar_hadamard_blockwise,hadamard,0,131072,last_dim_block_absmax,18.62571907043457,1.0,0,12.816642761230469,73.92637634277344,4.487258991048293e-07,0,16777216,0.0075269341468811035,0.007428206503391266
