activation_bits,bits,block_size,codebook,compute_interpretation,cosine,layer_index,levels,method,mxfp4_group_size,original_finite_ratio,original_inf_count,original_kurtosis,original_max_mean_ratio,original_mean,original_nan_count,original_numel,original_outlier_ratio_3sigma,original_std,qmax,quantizer_type,relative_mse,rotated_finite_ratio,rotated_inf_count,rotated_kurtosis,rotated_max_mean_ratio,rotated_mean,rotated_nan_count,rotated_numel,rotated_outlier_ratio_3sigma,rotated_std,rotation,rotation_backend,rotation_seed,scale_count,scale_granularity,site,sqnr_db
4,4,128,,block-wise uniform fake quant; future INT mapping is plausible,0.9850761890411377,0,,direct_absmax,,1.0,0,388.3034973144531,168.9984130859375,0.001595179783180356,0,2097152,0.017095088958740234,0.14313116669654846,7,uniform integer-like,0.03035891056060791,1.0,0,5.484297275543213,9.502494812011719,-0.001231364905834198,0,2097152,0.013237953186035156,0.14313486218452454,none,none,,16384,last_dim_block_absmax,attn_input,15.17713737487793
3,3,128,,block-wise uniform fake quant; future INT mapping is plausible,0.9554137587547302,0,,direct_absmax,,1.0,0,388.3034973144531,168.9984130859375,0.001595179783180356,0,2097152,0.017095088958740234,0.14313116669654846,3,uniform integer-like,0.09090198576450348,1.0,0,5.484297275543213,9.502494812011719,-0.001231364905834198,0,2097152,0.013237953186035156,0.14313486218452454,none,none,,16384,last_dim_block_absmax,attn_input,10.414266586303711
2,2,128,,block-wise uniform fake quant; future INT mapping is plausible,0.8450331687927246,0,,direct_absmax,,1.0,0,388.3034973144531,168.9984130859375,0.001595179783180356,0,2097152,0.017095088958740234,0.14313116669654846,1,uniform integer-like,0.30695927143096924,1.0,0,5.484297275543213,9.502494812011719,-0.001231364905834198,0,2097152,0.013237953186035156,0.14313486218452454,none,none,,16384,last_dim_block_absmax,attn_input,5.129192352294922
4,4,128,,rotation + uniform fake quant; needs rotation handling,0.9959506988525391,0,,rot_absmax,,1.0,0,388.3034973144531,168.9984130859375,0.001595179783180356,0,2097152,0.017095088958740234,0.14313116669654846,7,uniform integer-like,0.008855718187987804,1.0,0,5.484297275543213,9.502494812011719,-0.001231364905834198,0,2097152,0.013237953186035156,0.14313486218452454,block_hadamard_last_dim,hadamard,0,16384,last_dim_block_absmax,attn_input,20.527761459350586
3,3,128,,rotation + uniform fake quant; needs rotation handling,0.9770525693893433,0,,rot_absmax,,1.0,0,388.3034973144531,168.9984130859375,0.001595179783180356,0,2097152,0.017095088958740234,0.14313116669654846,3,uniform integer-like,0.04835866764187813,1.0,0,5.484297275543213,9.502494812011719,-0.001231364905834198,0,2097152,0.013237953186035156,0.14313486218452454,block_hadamard_last_dim,hadamard,0,16384,last_dim_block_absmax,attn_input,13.155256271362305
2,2,128,,rotation + uniform fake quant; needs rotation handling,0.8369449377059937,0,,rot_absmax,,1.0,0,388.3034973144531,168.9984130859375,0.001595179783180356,0,2097152,0.017095088958740234,0.14313116669654846,1,uniform integer-like,0.4394938349723816,1.0,0,5.484297275543213,9.502494812011719,-0.001231364905834198,0,2097152,0.013237953186035156,0.14313486218452454,block_hadamard_last_dim,hadamard,0,16384,last_dim_block_absmax,attn_input,3.570472240447998
4,4,128,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9962262511253357,0,16,rot_lm,,1.0,0,388.3034973144531,168.9984130859375,0.001595179783180356,0,2097152,0.017095088958740234,0.14313116669654846,,non-uniform codebook,0.008217976428568363,1.0,0,5.484297275543213,9.502494812011719,-0.001231364905834198,0,2097152,0.013237953186035156,0.14313486218452454,block_hadamard_last_dim,hadamard,0,,block_rms,attn_input,20.852352142333984
3,3,128,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9840708374977112,0,8,rot_lm,,1.0,0,388.3034973144531,168.9984130859375,0.001595179783180356,0,2097152,0.017095088958740234,0.14313116669654846,,non-uniform codebook,0.03224024549126625,1.0,0,5.484297275543213,9.502494812011719,-0.001231364905834198,0,2097152,0.013237953186035156,0.14313486218452454,block_hadamard_last_dim,hadamard,0,,block_rms,attn_input,14.916017532348633
2,2,128,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9423714876174927,0,4,rot_lm,,1.0,0,388.3034973144531,168.9984130859375,0.001595179783180356,0,2097152,0.017095088958740234,0.14313116669654846,,non-uniform codebook,0.11862315237522125,1.0,0,5.484297275543213,9.502494812011719,-0.001231364905834198,0,2097152,0.013237953186035156,0.14313486218452454,block_hadamard_last_dim,hadamard,0,,block_rms,attn_input,9.258305549621582
4,4,128,,block-wise uniform fake quant; future INT mapping is plausible,0.9820764660835266,0,,direct_absmax,,1.0,0,13.795552253723145,16.862150192260742,-0.03572721779346466,0,2097152,0.019403934478759766,1.247087001800537,7,uniform integer-like,0.03684808686375618,1.0,0,4.578042030334473,8.714534759521484,9.36649739742279e-05,0,2097152,0.011259078979492188,1.247594952583313,none,none,,16384,last_dim_block_absmax,q_proj_out,14.335850715637207
3,3,128,,block-wise uniform fake quant; future INT mapping is plausible,0.9175189733505249,0,,direct_absmax,,1.0,0,13.795552253723145,16.862150192260742,-0.03572721779346466,0,2097152,0.019403934478759766,1.247087001800537,3,uniform integer-like,0.17814213037490845,1.0,0,4.578042030334473,8.714534759521484,9.36649739742279e-05,0,2097152,0.011259078979492188,1.247594952583313,none,none,,16384,last_dim_block_absmax,q_proj_out,7.49233341217041
