a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,down_activation_quantizer_type,down_weight_quantizer_type,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
16,,,FP16,,baseline,1.0000325441360474,,,model.layers.0.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,84.26814270019531,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.986855149269104,uniform integer-like,uniform integer-like,model.layers.0.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.030318135395646095,none,none,,ffn,15.182975769042969,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9938726425170898,uniform integer-like,uniform integer-like,model.layers.0.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.012494917958974838,block_hadamard_last_dim,hadamard,0,ffn,19.032665252685547,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9952918887138367,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,rot_lm,ffn_rot_lm_w4a4,,0.012590944766998291,block_hadamard_last_dim,hadamard,0,ffn,18.99941635131836,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9873521327972412,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,rot_lm,ffn_rot_lm_w3a4,,0.034973133355379105,block_hadamard_last_dim,hadamard,0,ffn,14.562654495239258,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9814258813858032,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,rot_lm,ffn_rot_lm_w4a3,,0.07200828194618225,block_hadamard_last_dim,hadamard,0,ffn,11.426176071166992,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9735782146453857,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,rot_lm,ffn_rot_lm_w3a3,,0.10175322741270065,block_hadamard_last_dim,hadamard,0,ffn,9.924517631530762,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,1.0001580715179443,,,model.layers.1.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,114.13546752929688,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9997495412826538,uniform integer-like,uniform integer-like,model.layers.1.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.001215707277879119,none,none,,ffn,29.151708602905273,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9970524907112122,uniform integer-like,uniform integer-like,model.layers.1.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.006779948249459267,block_hadamard_last_dim,hadamard,0,ffn,21.68773651123047,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9979581236839294,non-uniform codebook,non-uniform codebook,model.layers.1.mlp,rot_lm,ffn_rot_lm_w4a4,,0.023703424260020256,block_hadamard_last_dim,hadamard,0,ffn,16.251890182495117,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9923470616340637,non-uniform codebook,non-uniform codebook,model.layers.1.mlp,rot_lm,ffn_rot_lm_w3a4,,0.04523281008005142,block_hadamard_last_dim,hadamard,0,ffn,13.445464134216309,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9979494214057922,non-uniform codebook,non-uniform codebook,model.layers.1.mlp,rot_lm,ffn_rot_lm_w4a3,,0.09546230733394623,block_hadamard_last_dim,hadamard,0,ffn,10.201681137084961,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9923311471939087,non-uniform codebook,non-uniform codebook,model.layers.1.mlp,rot_lm,ffn_rot_lm_w3a3,,0.12311872094869614,block_hadamard_last_dim,hadamard,0,ffn,9.096758842468262,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999960660934448,,,model.layers.2.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,84.14978790283203,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9604912400245667,uniform integer-like,uniform integer-like,model.layers.2.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.0820368081331253,none,none,,ffn,10.859912872314453,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9773936867713928,uniform integer-like,uniform integer-like,model.layers.2.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.04718957841396332,block_hadamard_last_dim,hadamard,0,ffn,13.2615385055542,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9837074279785156,non-uniform codebook,non-uniform codebook,model.layers.2.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03250129520893097,block_hadamard_last_dim,hadamard,0,ffn,14.880992889404297,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9617636203765869,non-uniform codebook,non-uniform codebook,model.layers.2.mlp,rot_lm,ffn_rot_lm_w3a4,,0.07642635703086853,block_hadamard_last_dim,hadamard,0,ffn,11.167569160461426,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9612381458282471,non-uniform codebook,non-uniform codebook,model.layers.2.mlp,rot_lm,ffn_rot_lm_w4a3,,0.07700982689857483,block_hadamard_last_dim,hadamard,0,ffn,11.134538650512695,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9395784139633179,non-uniform codebook,non-uniform codebook,model.layers.2.mlp,rot_lm,ffn_rot_lm_w3a3,,0.12010651081800461,block_hadamard_last_dim,hadamard,0,ffn,9.204334259033203,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999983310699463,,,model.layers.3.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,86.62117767333984,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9544165134429932,uniform integer-like,uniform integer-like,model.layers.3.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.09600017964839935,none,none,,ffn,10.177279472351074,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9740177392959595,uniform integer-like,uniform integer-like,model.layers.3.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.05453447997570038,block_hadamard_last_dim,hadamard,0,ffn,12.63328742980957,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9815368056297302,non-uniform codebook,non-uniform codebook,model.layers.3.mlp,rot_lm,ffn_rot_lm_w4a4,,0.036730166524648666,block_hadamard_last_dim,hadamard,0,ffn,14.349770545959473,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9569559693336487,non-uniform codebook,non-uniform codebook,model.layers.3.mlp,rot_lm,ffn_rot_lm_w3a4,,0.08513738214969635,block_hadamard_last_dim,hadamard,0,ffn,10.698797225952148,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9570645689964294,non-uniform codebook,non-uniform codebook,model.layers.3.mlp,rot_lm,ffn_rot_lm_w4a3,,0.08453958481550217,block_hadamard_last_dim,hadamard,0,ffn,10.729398727416992,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9330708980560303,non-uniform codebook,non-uniform codebook,model.layers.3.mlp,rot_lm,ffn_rot_lm_w3a3,,0.1309994012117386,block_hadamard_last_dim,hadamard,0,ffn,8.827306747436523,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999926090240479,,,model.layers.4.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,89.0013198852539,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9530347585678101,uniform integer-like,uniform integer-like,model.layers.4.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.09940273314714432,none,none,,ffn,10.026016235351562,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9738303422927856,uniform integer-like,uniform integer-like,model.layers.4.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.054664503782987595,block_hadamard_last_dim,hadamard,0,ffn,12.622945785522461,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9813599586486816,non-uniform codebook,non-uniform codebook,model.layers.4.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03699590265750885,block_hadamard_last_dim,hadamard,0,ffn,14.318464279174805,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9565649032592773,non-uniform codebook,non-uniform codebook,model.layers.4.mlp,rot_lm,ffn_rot_lm_w3a4,,0.08565542101860046,block_hadamard_last_dim,hadamard,0,ffn,10.67245101928711,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9567034840583801,non-uniform codebook,non-uniform codebook,model.layers.4.mlp,rot_lm,ffn_rot_lm_w4a3,,0.08509138226509094,block_hadamard_last_dim,hadamard,0,ffn,10.701143264770508,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9325873851776123,non-uniform codebook,non-uniform codebook,model.layers.4.mlp,rot_lm,ffn_rot_lm_w3a3,,0.1316239982843399,block_hadamard_last_dim,hadamard,0,ffn,8.806649208068848,3,non-uniform codebook,block_rms
