a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9991764426231384,model.layers.0.self_attn.q_proj,direct_absmax,direct_absmax_w4a4,,0.0016911794664338231,none,none,,linear,27.718103408813477,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9998181462287903,model.layers.0.self_attn.q_proj,rot_absmax,rot_absmax_w4a4,,0.0003821907739620656,block_hadamard_last_dim,hadamard,0,linear,34.17720031738281,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9998324513435364,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w4a4,,0.0004803832562174648,block_hadamard_last_dim,hadamard,0,linear,33.184120178222656,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9996111392974854,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w3a4,,0.0015947535866871476,block_hadamard_last_dim,hadamard,0,linear,27.973064422607422,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9993079304695129,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w4a3,,0.002033123280853033,block_hadamard_last_dim,hadamard,0,linear,26.918363571166992,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9990955591201782,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w3a3,,0.0035718611907213926,block_hadamard_last_dim,hadamard,0,linear,24.471054077148438,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9986954927444458,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w2a4,,0.011020863428711891,block_hadamard_last_dim,hadamard,0,linear,19.577844619750977,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9986059069633484,model.layers.0.self_attn.k_proj,direct_absmax,direct_absmax_w4a4,,0.002875865437090397,none,none,,linear,25.41231346130371,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9997086524963379,model.layers.0.self_attn.k_proj,rot_absmax,rot_absmax_w4a4,,0.0005863872356712818,block_hadamard_last_dim,hadamard,0,linear,32.31815719604492,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9997519850730896,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w4a4,,0.0006389722693711519,block_hadamard_last_dim,hadamard,0,linear,31.945180892944336,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9994117617607117,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w3a4,,0.002048658672720194,block_hadamard_last_dim,hadamard,0,linear,26.885303497314453,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9990364909172058,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w4a3,,0.0025736158713698387,block_hadamard_last_dim,hadamard,0,linear,25.894563674926758,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9987123012542725,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w3a3,,0.004401650745421648,block_hadamard_last_dim,hadamard,0,linear,23.563844680786133,3,non-uniform codebook,block_rms
