base_k_bits,bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,projection_dim,qjl_seed,residual_bits,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
3,K3,pure Hadamard-LM key reconstruction,-0.03679592162370682,0.0238613560795784,1.6258641481399536,3,0.03072323091328144,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm_k3,hadamard_lm_k3,0.9814378023147583,0.037287287414073944,64,0,0,0.02542528323829174,0.0238613560795784,0.01382804661989212,0.8160400390625,4,0.008357872255146503,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,-0.10052735358476639,0.08482985943555832,5.774840831756592,2,0.1040322482585907,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm_k2,hadamard_lm_k2,0.9587542414665222,0.08478789031505585,64,0,0,0.09038979560136795,0.08482985943555832,0.03921894729137421,0.6978515386581421,4,0.008357872255146503,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,0.42980656027793884,0.13189257681369781,8.80964183807373,2,0.1040322482585907,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.9512776136398315,0.10103080421686172,64,0,1,0.1405371129512787,0.13189257681369781,0.057874467223882675,0.6643310785293579,4,0.008357872255146503,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,0.10780923068523407,0.039471130818128586,2.6800990104675293,3,0.03072323091328144,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9739778637886047,0.056583549827337265,64,0,1,0.042058154940605164,0.039471130818128586,0.019855737686157227,0.7947753667831421,4,0.008357872255146503,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,0.35604992508888245,0.01364000141620636,8.409649848937988,3,0.03545171022415161,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.1.self_attn,1,hadamard_lm_k3,hadamard_lm_k3,0.959017276763916,0.08049499988555908,64,1,0,0.13338157534599304,0.01364000141620636,0.045536451041698456,0.7948974370956421,4,0.008711626753211021,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,1.6925677061080933,0.052609775215387344,30.06036949157715,2,0.12096286565065384,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.1.self_attn,1,hadamard_lm_k2,hadamard_lm_k2,0.8702309727668762,0.2485329657793045,64,1,0,0.5144555568695068,0.052609775215387344,0.15184567868709564,0.6523193120956421,4,0.008711626753211021,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,-0.3312419652938843,0.07621708512306213,47.58976745605469,2,0.12096286565065384,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.1.self_attn,1,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.8281008005142212,0.36443793773651123,64,1,1,0.745304524898529,0.07621708512306213,0.2448914349079132,0.5914551019668579,4,0.008711626753211021,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,-0.06919027864933014,0.023115791380405426,14.461935043334961,3,0.03545171022415161,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.1.self_attn,1,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9380898475646973,0.12591227889060974,64,1,1,0.22604253888130188,0.023115791380405426,0.08241155743598938,0.7265625,4,0.008711626753211021,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,0.4943963885307312,0.025004079565405846,7.001842021942139,3,0.034325532615184784,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm_k3,hadamard_lm_k3,0.962425172328949,0.07387560606002808,64,2,0,0.11322296410799026,0.025004079565405846,0.03449491411447525,0.8399658203125,4,0.009183427318930626,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,1.47189462184906,0.08462981134653091,22.359542846679688,2,0.1166444644331932,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm_k2,hadamard_lm_k2,0.8884656429290771,0.2203025221824646,64,2,0,0.38321900367736816,0.08462981134653091,0.11539281904697418,0.734423816204071,4,0.009183427318930626,per_token_head_rms
