a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,method,method_key,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.0.self_attn,0,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
16,identity attention wrapper; no quantization,3.663172174128704e-05,1.1118071086002601e-07,7.58059377403697e-06,16,4.940225295513301e-08,1.2575951302551402e-07,K16V16,fp16,model.layers.0.self_attn,0,1.0000388622283936,6.530528651182976e-08,FP16,fp16,attn_identity_fp16,attn_identity_fp16,1.0000494718551636,9.910392151368796e-08,1.0000478029251099,1.4252444202611514e-07,1.0000031391779582,4.7524472061392466e-08,4.469131553719308e-08,1.1846773873003258e-07,1.1118071086002601e-07,2.4519899000097212e-08,0.9996582269668579,16,4.847984769185132e-08,reconstruct,4.847984769185132e-08,16
16,KV-only HLM K4V4 with value reconstruction,-0.025048427283763885,0.006157762836664915,0.4192993640899658,4,4.940225295513301e-08,0.008479565382003784,K4V4,hadamard_lm,model.layers.0.self_attn,0,0.999055027961731,0.0019771235529333353,FP16,fp16,attn_kv_only_hlm_k4v4_reconstruct,attn_kv_only_hlm_k4v4_reconstruct,0.9938328266143799,0.012455242685973644,0.9938309192657471,0.012455514632165432,1.0000031391779582,4.7524472061392466e-08,4.469131553719308e-08,0.006561356130987406,0.006157762836664915,0.0027221296913921833,0.9393554925918579,4,4.847984769185132e-08,reconstruct,0.00835792813450098,16
16,KV-only HLM K4V4 with value rotation absorbed into o_proj,-0.025048427283763885,0.006157762836664915,0.4192993640899658,4,4.940225295513301e-08,0.008479565382003784,K4V4,hadamard_lm,model.layers.0.self_attn,0,0.9990546703338623,0.0019772909581661224,FP16,fp16,attn_kv_only_hlm_k4v4_oabsorb,attn_kv_only_hlm_k4v4_oabsorb,0.9938326478004456,0.012455242685973644,0.9938308000564575,0.012455513700842857,1.0000031391779582,4.7524472061392466e-08,4.469131553719308e-08,0.006561356130987406,0.006157762836664915,0.0027221296913921833,0.9393554925918579,4,4.847984769185132e-08,o_proj_absorb,0.00835792813450098,16
16,KV-only HLM K3V4 with value rotation absorbed into o_proj,-0.03617211431264877,0.023541320115327835,1.604084849357605,3,4.940225295513301e-08,0.030723128467798233,K3V4,hadamard_lm,model.layers.0.self_attn,0,0.9968849420547485,0.006487114354968071,FP16,fp16,attn_kv_only_hlm_k3v4_oabsorb,attn_kv_only_hlm_k3v4_oabsorb,0.9845134615898132,0.03096158802509308,0.9845116138458252,0.030962130054831505,1.0000031391779582,4.7524472061392466e-08,4.469131553719308e-08,0.025084270164370537,0.023541320115327835,0.009922809898853302,0.887280285358429,4,4.847984769185132e-08,o_proj_absorb,0.00835792813450098,16
16,KV-only HLM K4V3 with value rotation absorbed into o_proj,-0.025048427283763885,0.006157762836664915,0.4192993640899658,4,4.940225295513301e-08,0.008479565382003784,K4V3,hadamard_lm,model.layers.0.self_attn,0,0.9983357191085815,0.00394284026697278,FP16,fp16,attn_kv_only_hlm_k4v3_oabsorb,attn_kv_only_hlm_k4v3_oabsorb,0.986903727054596,0.026193350553512573,0.986902117729187,0.026193177327513695,1.0000031391779582,4.7524472061392466e-08,4.469131553719308e-08,0.006561356130987406,0.006157762836664915,0.0027221296913921833,0.9393554925918579,3,4.847984769185132e-08,o_proj_absorb,0.030345313251018524,16
4,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,-0.02253277786076069,0.0075341020710766315,0.513278067111969,4,0.0006256662891246378,0.009013096801936626,K4V4,hadamard_lm,model.layers.0.self_attn,0,0.9887329936027527,0.023274727165699005,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,0.8627708554267883,0.3314146399497986,0.8627692461013794,0.331414133310318,0.9735855658849081,0.05857976068121692,0.0009080592426471412,0.008027903735637665,0.0075341020710766315,0.0032636690884828568,0.9249267578125,4,0.17420555651187897,o_proj_absorb,0.18035244941711426,4
4,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,0.0015083331381902099,0.027693936601281166,1.8885774612426758,3,0.001117852982133627,0.03155474364757538,K3V4,hadamard_lm,model.layers.0.self_attn,0,0.9552671313285828,0.09522930532693863,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.6633964776992798,1.1878587007522583,0.6633950471878052,1.1878550052642822,0.9378208915392557,0.15899886097759008,0.001950159203261137,0.029509058222174644,0.027693936601281166,0.010196695104241371,0.8782958984375,4,0.4739285707473755,o_proj_absorb,0.4803047776222229,3
3,rotated LM W4A3 plus HLM K4V3 with value rotation absorbed into o_proj,-0.10706601291894913,0.02385963313281536,1.6156375408172607,4,0.006044525187462568,0.01395420078188181,K4V3,hadamard_lm,model.layers.0.self_attn,0,0.9804636240005493,0.04062755033373833,W4A3,rot_lm,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,0.8153163194656372,0.45644521713256836,0.8153151869773865,0.4564429819583893,0.9471508264541626,0.14428472984582186,0.007355357985943556,0.0254234466701746,0.02385963313281536,0.006583203561604023,0.8797363042831421,3,0.41945430636405945,o_proj_absorb,0.44670364260673523,4
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.1.self_attn,1,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
16,identity attention wrapper; no quantization,-0.0020871690940111876,8.296454012679533e-08,4.793987682205625e-05,16,4.1980918297213066e-08,1.2270621141396987e-07,K16V16,fp16,model.layers.1.self_attn,1,1.0000014305114746,4.0211449459093274e-07,FP16,fp16,attn_identity_fp16,attn_identity_fp16,1.0000150203704834,3.459369395386602e-07,1.000012755393982,3.884436523549084e-07,1.0000011324882507,4.194070513108272e-08,4.1870617195627347e-08,8.171273293555714e-07,8.296454012679533e-08,1.4897437949912273e-07,0.9996582269668579,16,4.1970579900407756e-08,reconstruct,4.1970579900407756e-08,16
